EntryID	Substrate	Product	EnzymeType	PubMedID	Organism	UniprotID	ECNumber	pH	Temperature	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
46931	Succinate semialdehyde;H+;NADPH	NADP+;4-Hydroxybutanoate	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat/Km	Succinate semialdehyde	102333.3		-	M^(-1)*s^(-1)
46931	Succinate semialdehyde;H+;NADPH	NADP+;4-Hydroxybutanoate	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	Km	Succinate semialdehyde	1.98E-5		5E-7	M
46931	Succinate semialdehyde;H+;NADPH	NADP+;4-Hydroxybutanoate	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	kcat		2.026667		1.666667E-2	s^(-1)
46931	Succinate semialdehyde;H+;NADPH	NADP+;4-Hydroxybutanoate	wildtype AKR7A5 His6-tagged	16460003	Mus musculus	Q8CG76	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46932	H+;Succinate semialdehyde;NADPH	NADP+;4-Hydroxybutanoate	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	kcat/Km	Succinate semialdehyde	8333.333		-	M^(-1)*s^(-1)
46932	H+;Succinate semialdehyde;NADPH	NADP+;4-Hydroxybutanoate	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	Km	Succinate semialdehyde	2.17E-4		1.86E-5	M
46932	H+;Succinate semialdehyde;NADPH	NADP+;4-Hydroxybutanoate	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46932	H+;Succinate semialdehyde;NADPH	NADP+;4-Hydroxybutanoate	wildtype AKR7A1	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	kcat		1.8		6E-2	s^(-1)
46933	NADPH;Succinate semialdehyde;H+	4-Hydroxybutanoate;NADP+	mutant V44M	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	kcat		1.34		7.166667E-2	s^(-1)
46933	NADPH;Succinate semialdehyde;H+	4-Hydroxybutanoate;NADP+	mutant V44M	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	concentration	NADPH	1.0E-4		-	M
46933	NADPH;Succinate semialdehyde;H+	4-Hydroxybutanoate;NADP+	mutant V44M	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	kcat/Km	Succinate semialdehyde	13833.33		-	M^(-1)*s^(-1)
46933	NADPH;Succinate semialdehyde;H+	4-Hydroxybutanoate;NADP+	mutant V44M	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	Km	Succinate semialdehyde	9.72E-5		1.25E-5	M
46934	Succinate semialdehyde;H+;NADPH	NADP+;4-Hydroxybutanoate	mutant M77W	16460003	Rattus norvegicus	P38918	1.1.1.n11	6.6	25.0	Km	Succinate semialdehyde	4.65E-5		5.8E-6	M
