EntryID	Substrate	Product	EnzymeType	PubMedID	Organism	UniprotID	ECNumber	pH	Temperature	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
75091	S-Adenosyl-L-methionine;5-Propylresorcinol	3-Methoxy-5-propylphenol;S-Adenosyl-L-homocysteine	wildtype N-terminal His-tag	17998204	Sorghum bicolor	A8QW53	2.1.1.n7	-	30.0	Km	5-Propylresorcinol	0.001436		-	M
75091	S-Adenosyl-L-methionine;5-Propylresorcinol	3-Methoxy-5-propylphenol;S-Adenosyl-L-homocysteine	wildtype N-terminal His-tag	17998204	Sorghum bicolor	A8QW53	2.1.1.n7	-	30.0	concentration	unknown compound	0.13		-	mg/ml
75091	S-Adenosyl-L-methionine;5-Propylresorcinol	3-Methoxy-5-propylphenol;S-Adenosyl-L-homocysteine	wildtype N-terminal His-tag	17998204	Sorghum bicolor	A8QW53	2.1.1.n7	-	30.0	kcat/Km	5-Propylresorcinol	0.13		-	M^(-1)*s^(-1)
75091	S-Adenosyl-L-methionine;5-Propylresorcinol	3-Methoxy-5-propylphenol;S-Adenosyl-L-homocysteine	wildtype N-terminal His-tag	17998204	Sorghum bicolor	A8QW53	2.1.1.n7	-	30.0	kcat		1.9E-4		-	s^(-1)
75091	S-Adenosyl-L-methionine;5-Propylresorcinol	3-Methoxy-5-propylphenol;S-Adenosyl-L-homocysteine	wildtype N-terminal His-tag	17998204	Sorghum bicolor	A8QW53	2.1.1.n7	-	30.0	concentration	5-Propylresorcinol	1.0E-5	0.01	-	M
75091	S-Adenosyl-L-methionine;5-Propylresorcinol	3-Methoxy-5-propylphenol;S-Adenosyl-L-homocysteine	wildtype N-terminal His-tag	17998204	Sorghum bicolor	A8QW53	2.1.1.n7	-	30.0	Vmax		4.3E-9		-	mol*s^(-1)*g^(-1)
75092	5-Butylresorcinol;S-Adenosyl-L-methionine	3-Methoxy-5-butylphenol;S-Adenosyl-L-homocysteine	wildtype N-terminal His-tag	17998204	Sorghum bicolor	A8QW53	2.1.1.n7	-	30.0	kcat		3.9E-4		-	s^(-1)
75092	5-Butylresorcinol;S-Adenosyl-L-methionine	3-Methoxy-5-butylphenol;S-Adenosyl-L-homocysteine	wildtype N-terminal His-tag	17998204	Sorghum bicolor	A8QW53	2.1.1.n7	-	30.0	Vmax		9.2E-9		-	mol*s^(-1)*g^(-1)
75092	5-Butylresorcinol;S-Adenosyl-L-methionine	3-Methoxy-5-butylphenol;S-Adenosyl-L-homocysteine	wildtype N-terminal His-tag	17998204	Sorghum bicolor	A8QW53	2.1.1.n7	-	30.0	kcat/Km	5-Butylresorcinol	0.81		-	M^(-1)*s^(-1)
75092	5-Butylresorcinol;S-Adenosyl-L-methionine	3-Methoxy-5-butylphenol;S-Adenosyl-L-homocysteine	wildtype N-terminal His-tag	17998204	Sorghum bicolor	A8QW53	2.1.1.n7	-	30.0	Km	5-Butylresorcinol	4.81E-4		-	M
